Date, Open, High, Low, Close
09/16/21,15452.67,15539.14,15370.88,15515.91
09/15/21,15419.95,15518.95,15316.40,15503.53
09/14/21,15505.78,15525.97,15352.06,15382.90
09/13/21,15545.66,15562.28,15351.70,15434.50
09/10/21,15648.05,15673.50,15433.43,15440.75
09/09/21,15639.44,15675.47,15556.75,15561.05
09/08/21,15669.01,15669.01,15528.45,15620.85
09/07/21,15662.30,15701.40,15610.23,15675.76
09/03/21,15578.96,15668.12,15554.97,15652.86
09/02/21,15656.28,15681.75,15554.29,15604.25
09/01/21,15637.13,15696.42,15603.67,15611.57
08/31/21,15601.34,15604.45,15522.78,15582.51
08/30/21,15460.93,15620.62,15459.74,15605.09
08/27/21,15305.75,15447.03,15292.74,15432.95
08/26/21,15348.99,15369.28,15265.23,15278.52
08/25/21,15384.83,15404.36,15341.92,15368.92
08/24/21,15338.92,15384.42,15319.56,15357.68
08/23/21,15140.14,15341.47,15140.14,15312.82
08/20/21,14974.06,15103.93,14968.87,15092.57
08/19/21,14773.19,15000.19,14773.19,14933.94
08/18/21,14975.02,15039.90,14846.51,14857.92
08/17/21,15018.94,15062.70,14906.22,15002.83
08/16/21,15090.05,15142.03,14931.15,15140.77
08/13/21,15101.84,15150.48,15079.31,15136.68
08/12/21,15012.60,15097.91,14956.25,15088.98
08/11/21,15101.82,15127.78,14972.60,15027.76
08/10/21,15157.37,15169.45,15010.16,15053.58
08/09/21,15136.14,15154.68,15081.75,15133.11
08/06/21,15125.74,15162.34,15063.02,15109.36
08/05/21,15105.40,15184.27,15083.84,15181.64
08/04/21,15059.17,15117.38,15017.14,15083.39
08/03/21,14997.20,15063.66,14864.53,15061.42
08/02/21,15046.10,15059.89,14945.13,14963.62
07/30/21,14882.39,14990.86,14882.39,14959.90
07/29/21,15015.30,15091.96,15004.42,15048.36
07/28/21,15005.17,15078.85,14913.55,15018.10
07/27/21,15103.01,15107.74,14787.81,14956.97
07/26/21,15088.28,15142.35,15048.23,15125.95
07/23/21,15004.43,15125.84,14948.03,15111.79
07/22/21,14865.47,14941.38,14865.47,14940.17
07/21/21,14723.67,14843.17,14710.11,14842.63
07/20/21,14601.33,14790.60,14530.78,14728.21
07/19/21,14517.96,14578.96,14455.07,14549.09
07/16/21,14842.08,14875.97,14667.10,14681.38
07/15/21,14903.49,14907.51,14717.55,14794.69
07/14/21,14984.86,15001.13,14871.73,14900.44
07/13/21,14871.04,15002.28,14843.80,14874.54
07/12/21,14878.71,14899.46,14813.79,14877.89
07/09/21,14709.33,14838.72,14685.53,14826.09
07/08/21,14577.67,14763.67,14551.76,14722.14
07/07/21,14889.76,14891.19,14735.75,14810.54
07/06/21,14755.15,14797.45,14635.31,14786.36
07/02/21,14633.51,14738.14,14626.82,14727.63
07/01/21,14530.63,14576.65,14483.43,14560.05
06/30/21,14560.07,14582.30,14530.87,14554.80
06/29/21,14523.63,14575.19,14481.84,14572.75
06/28/21,14401.63,14530.07,14400.59,14524.98
06/25/21,14396.63,14401.71,14324.26,14345.18
06/24/21,14358.30,14429.15,14337.65,14365.96
06/23/21,14275.09,14324.74,14247.58,14274.24
06/22/21,14140.30,14288.49,14128.01,14270.42
06/21/21,14055.03,14150.91,13967.89,14137.23
06/18/21,14125.12,14140.61,14024.60,14049.58
06/17/21,13946.70,14205.43,13946.52,14163.81
06/16/21,14053.12,14100.11,13843.60,13983.01
06/15/21,14120.81,14126.25,14008.93,14030.41
06/14/21,14002.14,14129.33,13963.94,14128.20
06/11/21,13959.47,13998.65,13934.00,13998.30
